B00, 0
B01, 0
B02, 1
B09, Blotteritem, {'type': 'Trade', 'time': 258.50000000003877, 'price': 99.0, 'party1': 'B09', 'party2': 'S03', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 279.40000000001976, 'price': 99.0, 'party1': 'B09', 'party2': 'S02', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 313.82499999998845, 'price': 80.0, 'party1': 'S05', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 350.3749999999552, 'price': 105.0, 'party1': 'B09', 'party2': 'S04', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 389.69999999991944, 'price': 105.0, 'party1': 'B09', 'party2': 'S03', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 416.52499999989504, 'price': 101.0, 'party1': 'B09', 'party2': 'S05', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 441.27499999987253, 'price': 105.0, 'party1': 'B09', 'party2': 'S04', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 477.7249999998394, 'price': 102.0, 'party1': 'B09', 'party2': 'S05', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 487.0499999998309, 'price': 75.0, 'party1': 'S04', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 540.799999999782, 'price': 101.0, 'party1': 'B09', 'party2': 'S01', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 548.7249999997748, 'price': 100.0, 'party1': 'B09', 'party2': 'S08', 'qty': 1}
B10, 19
B10, Blotteritem, {'type': 'Trade', 'time': 10.37500000000008, 'price': 110.0, 'party1': 'B10', 'party2': 'S08', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 36.69999999999899, 'price': 105.0, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 78.95000000000083, 'price': 108.0, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 96.35000000000478, 'price': 109.0, 'party1': 'B10', 'party2': 'S04', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 145.95000000001605, 'price': 106.0, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 179.6000000000237, 'price': 107.0, 'party1': 'B10', 'party2': 'S09', 'qty': 1}
