B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B17, Blotteritem, {'type': 'Trade', 'time': 99.72500000000555, 'price': 93, 'party1': 'B17', 'party2': 'S06', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 234.70000000003623, 'price': 92, 'party1': 'B17', 'party2': 'S03', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 280.8750000000184, 'price': 91, 'party1': 'B17', 'party2': 'S02', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 305.8499999999957, 'price': 93, 'party1': 'B17', 'party2': 'S03', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 508.32499999981155, 'price': 92, 'party1': 'B17', 'party2': 'S04', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 549.5249999997741, 'price': 91, 'party1': 'B17', 'party2': 'S00', 'qty': 1}
B18, 10
B18, Blotteritem, {'type': 'Trade', 'time': 28.67499999999944, 'price': 92, 'party1': 'S05', 'party2': 'B18', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 56.22499999999788, 'price': 94, 'party1': 'B18', 'party2': 'S01', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 65.34999999999773, 'price': 94, 'party1': 'B18', 'party2': 'S05', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 106.15000000000701, 'price': 92, 'party1': 'B18', 'party2': 'S08', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 185.02500000002493, 'price': 93, 'party1': 'B18', 'party2': 'S03', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 204.17500000002929, 'price': 94, 'party1': 'B18', 'party2': 'S06', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 302.0999999999991, 'price': 93, 'party1': 'S05', 'party2': 'B18', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 386.62499999992224, 'price': 92, 'party1': 'B18', 'party2': 'S07', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 416.3749999998952, 'price': 91, 'party1': 'B18', 'party2': 'S01', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 448.07499999986635, 'price': 92, 'party1': 'S01', 'party2': 'B18', 'qty': 1}
B19, 11
B19, Blotteritem, {'type': 'Trade', 'time': 30.124999999999357, 'price': 101, 'party1': 'S10', 'party2': 'B19', 'qty': 1}
